City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
177,El Alto,Pe,-4.2714,-81.2147,78.46,70,60,23.17,broken clouds
178,Vanavara,Ru,60.34,102.2797,46.31,74,80,2.8,broken clouds
179,Kaputa,Zm,-8.4689,29.6619,68.41,69,35,3.22,scattered clouds
180,Severo-Kurilsk,Ru,50.6789,156.125,41.9,90,100,4.9,overcast clouds
181,Taoudenni,Ml,22.6783,-3.9836,99.97,7,68,4.7,broken clouds
182,Aklavik,Ca,68.2191,-135.0107,35.6,69,75,4.61,broken clouds
183,Port Hardy,Ca,50.6996,-127.4199,51.98,62,40,12.66,scattered clouds
184,Glowno,Pl,51.9646,19.7157,63.25,43,59,9.55,broken clouds
185,Gelemso,Et,8.8167,40.5167,65.34,49,76,4.59,broken clouds
186,Shagonar,Ru,51.5333,92.8,61.88,40,7,1.88,clear sky
187,Cascas,Pe,-7.4833,-78.8167,75.97,51,43,8.37,scattered clouds
188,Hidalgotitlan,Mx,17.7833,-94.6333,105.17,20,27,11.34,scattered clouds
189,Bontang,Id,0.1333,117.5,80.06,83,97,2.46,light rain
190,Constitucion,Cl,-35.3333,-72.4167,54.72,92,100,16.78,overcast clouds
191,Jaque,Pa,7.5175,-78.1703,77.22,87,100,3.33,light rain
192,Klaksvik,Fo,62.2266,-6.589,49.12,97,100,21.34,light rain
193,Poum,Nc,-20.2333,164.0167,78.1,77,4,9.55,clear sky
194,Sept-Iles,Ca,50.2001,-66.3821,57.72,58,40,8.05,scattered clouds
195,Abasolo,Mx,20.45,-101.5167,93.09,14,2,6.87,clear sky
196,Salym,Ru,60.0625,71.4789,45.01,96,35,8.46,scattered clouds
197,Margate,Gb,51.3813,1.3862,62.69,84,89,4.0,overcast clouds
198,Lagoa,Pt,39.05,-27.9833,59.32,79,64,8.86,broken clouds
199,Mitu,Co,1.1983,-70.1733,69.84,97,100,3.11,overcast clouds
200,Ostrovnoy,Ru,68.0531,39.5131,32.86,79,100,15.84,overcast clouds
201,Wadi Maliz,Tn,36.4681,8.5495,76.66,46,8,7.02,clear sky
202,Bahar,Ir,34.9072,48.4414,62.76,31,0,4.61,clear sky
203,Iracoubo,Gf,5.4802,-53.2011,80.62,76,43,5.61,scattered clouds
204,Caraguatatuba,Br,-23.6338,-45.4899,61.27,83,74,7.67,broken clouds
205,Arraial Do Cabo,Br,-22.9661,-42.0278,67.96,73,40,34.52,scattered clouds
206,Kavaratti,In,10.5669,72.642,82.98,76,100,9.33,overcast clouds
207,Sembe,Cg,1.6481,14.5806,74.55,90,96,2.62,light rain
208,Bubaque,Gw,11.2833,-15.8333,78.98,84,69,23.69,broken clouds
209,Shimoda,Jp,34.6667,138.95,62.1,89,100,7.72,overcast clouds
210,Coquimbo,Cl,-29.9533,-71.3436,64.13,59,0,8.05,clear sky
211,Campestre,Br,-21.7111,-46.2464,51.39,75,0,7.81,clear sky
212,Hamilton,Us,39.1834,-84.5333,83.95,65,40,6.91,scattered clouds
213,Wad Madani,Sd,14.4012,33.5199,98.91,13,7,6.11,clear sky
214,Bedesa,Et,8.9,40.7833,66.43,39,79,5.41,broken clouds
215,Manono,Cd,-7.3,27.4167,72.88,62,68,4.63,broken clouds
216,Alugan,Ph,12.2188,125.4808,79.75,85,100,8.77,overcast clouds
217,Boende,Cd,-0.2167,20.8667,74.79,84,95,2.28,overcast clouds
218,Narsaq,Gl,60.9167,-46.05,42.3,62,11,7.23,few clouds
219,Road Town,Vg,18.4167,-64.6167,84.29,70,40,8.05,scattered clouds
220,Guiyang,Cn,26.5833,106.7167,55.89,100,40,2.24,mist
221,Sayyan,Ye,15.1718,44.3244,65.28,19,53,7.72,broken clouds
222,Kerema,Pg,-7.9631,145.7785,76.48,87,29,1.25,light rain
223,Geneva,Us,41.8875,-88.3054,85.68,45,49,8.99,scattered clouds
224,Zelezna Ruda,Cz,49.1374,13.2352,63.88,61,43,6.58,scattered clouds
225,Roald,No,62.5833,6.1333,58.12,93,75,11.5,broken clouds
