City_ID,City,Country,Max Temp,Weather,Lat,Lng,Hotel Name
96,Souillac,Mu,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
103,Faanui,Pf,80.44,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
105,Pochutla,Mx,88.83,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
108,Georgetown,My,82.33,few clouds,5.4112,100.3354,Cititel Penang
112,Marsh Harbour,Bs,80.92,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
117,Alofi,Nu,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
118,Mayo,Us,84.67,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
119,Natal,Br,86.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
131,Bodden Town,Ky,87.01,broken clouds,19.2833,-81.25,Will T Place
133,Kishi,Ng,78.24,clear sky,9.0833,3.85,New NCCF KISI
134,Tabou,Ci,79.09,light rain,4.423,-7.3528,hotêl doufoulougou
137,Kavieng,Pg,81.73,few clouds,-2.5744,150.7967,Nusa Island Retreat
138,Kishorganj,Bd,75.58,overcast clouds,24.4333,90.7667,Kishoreganj Resort
140,Columbus,Us,80.53,broken clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
141,Kieta,Pg,78.6,clear sky,-6.2167,155.6333,Uruna Bay Retreat
142,Quatre Cocos,Mu,75.31,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
145,Gizo,Sb,81.39,clear sky,-8.103,156.8419,Imagination Island
166,Arlit,Ne,86.76,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
168,Trairi,Br,79.97,broken clouds,-3.2778,-39.2689,janelas do mar
169,Axim,Gh,79.61,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
172,Kirakira,Sb,78.22,clear sky,-10.4544,161.9205,SanBiz Lodge
173,Denpasar,Id,80.26,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
175,Ibajay,Ph,78.15,scattered clouds,11.8199,122.162,Toh Pao's Fastfood and Lodging Inn
177,El Alto,Pe,78.46,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
187,Cascas,Pe,75.97,scattered clouds,-7.4833,-78.8167,Hotel *ROSA ERMILA*
189,Bontang,Id,80.06,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
191,Jaque,Pa,77.22,light rain,7.5175,-78.1703,Aventuras Jaque S.A
201,Wadi Maliz,Tn,76.66,clear sky,36.4681,8.5495,HOPITAL
203,Iracoubo,Gf,80.62,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
206,Kavaratti,In,82.98,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
208,Bubaque,Gw,78.98,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
212,Hamilton,Us,83.95,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
216,Alugan,Ph,79.75,overcast clouds,12.2188,125.4808,JM Lodge
219,Road Town,Vg,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
222,Kerema,Pg,76.48,light rain,-7.9631,145.7785,Frena Lodge
223,Geneva,Us,85.68,scattered clouds,41.8875,-88.3054,Best Western Inn Of St. Charles
227,Itarema,Br,79.83,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
234,Kahului,Us,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
236,Hobyo,So,80.04,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
242,Camopi,Gf,75.49,overcast clouds,3.1655,-52.3158,La pousada
243,Manokwari,Id,78.55,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
249,Bourg-En-Bresse,Fr,78.62,overcast clouds,46.1667,5.1667,Chambres d'Hôtes Grange Carrée
251,Sibu,My,75.51,few clouds,2.3,111.8167,RH HOTEL (4 Star)
252,Mogadishu,So,79.9,scattered clouds,2.0371,45.3438,Hotel Juba
253,La Libertad,Ec,78.46,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
254,Jibuti,Dj,84.79,broken clouds,11.5,42.5,Orchid Main Camp Goubet
255,Osmena,Ph,83.19,broken clouds,10.5208,119.9258,Arjemarkyza Lodge
257,Rio Branco,Br,77.61,clear sky,-9.9747,-67.81,Hotel Guapindaia Bosque
260,Hithadhoo,Mv,82.96,scattered clouds,-0.6,73.0833,Scoop Guest House
261,Oistins,Bb,86.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
262,Sinnamary,Gf,80.46,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
267,Nizwa,Om,87.28,clear sky,22.9333,57.5333,Orient Apartments
269,Balotra,In,89.6,clear sky,25.8333,72.2333,Hotel City Square
270,Pacific Grove,Us,77.54,clear sky,36.6177,-121.9166,Lovers Point Inn
274,San Jose,Us,87.44,scattered clouds,37.3394,-121.895,The Westin San Jose
277,Anloga,Gh,81.97,overcast clouds,5.7947,0.8973,Pin Drop Hotel
281,Zaragoza,Es,81.05,clear sky,41.6561,-0.8773,INNSiDE Zaragoza
285,Korla,Cn,76.26,broken clouds,41.7597,86.1469,Gulisitan Hotel
286,Isangel,Vu,76.46,moderate rain,-19.55,169.2667,Tanna Lodge
290,Padang,Id,78.12,overcast clouds,-0.9492,100.3543,Mercure Padang
291,Mali,Gn,77.02,overcast clouds,12.079,-12.2982,Hotel La Dame de Mali
301,San Policarpo,Ph,80.33,overcast clouds,12.1791,125.5072,Agapita M. Nicart
307,Cabedelo,Br,84.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
309,Ormara,Pk,81.95,clear sky,25.2088,64.6357,Kenara Colony house for Rent
311,Gudari,In,82.36,overcast clouds,19.35,83.7833,Hotel maa majhigouri
319,Soyo,Ao,77.29,clear sky,-6.1349,12.3689,Hotel Mpampa
321,Manggar,Id,79.0,overcast clouds,-2.8833,108.2667,Guest Hotel
327,Touros,Br,81.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
328,Puerto Ayacucho,Ve,77.22,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
329,Victoria,Hk,78.96,broken clouds,22.2855,114.1577,Mini Central
334,Price,Us,77.11,overcast clouds,39.5994,-110.8107,National 9 - Price River Inn
335,Luwuk,Id,77.4,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
336,La Orilla,Mx,85.06,scattered clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
341,Lewistown,Us,80.17,scattered clouds,40.5992,-77.5714,Quality Inn & Suites
342,Williamsburg,Us,89.91,clear sky,37.2707,-76.7075,Comfort Suites Williamsburg Historic Area
347,Abu Kamal,Sy,83.97,clear sky,34.4506,40.9171,البوكمال
348,Sitarganj,In,84.79,clear sky,28.9333,79.7,OYO 37021 Hotel Sitar International
350,Bambous Virieux,Mu,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
357,Porto Velho,Br,80.65,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
362,Abidjan,Ci,84.16,scattered clouds,5.3094,-4.0197,ibis Abidjan Plateau
363,Cabo San Lucas,Mx,85.6,clear sky,22.8909,-109.9124,Vista Roof Restaurant
366,Jacareacanga,Br,84.02,clear sky,-6.2222,-57.7528,Casa do Ian😎
367,Ambon,Id,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
