City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
31,Hermanus,ZA,2022-05-18 23:25:18,-34.4187,19.2345,59.81,76,97,17.67
32,Kapaa,US,2022-05-18 23:25:18,22.0752,-159.319,78.78,93,100,14.97
33,Gloversville,US,2022-05-18 23:20:41,43.0528,-74.3438,61.29,63,97,7.31
34,Hilo,US,2022-05-18 23:25:19,19.7297,-155.09,95.29,74,0,14.97
35,Airai,TL,2022-05-18 23:25:19,-8.9266,125.4092,62.71,86,56,3.42
36,Port Elizabeth,ZA,2022-05-18 23:25:19,-33.918,25.5701,68.31,66,0,8.05
37,Kavaratti,IN,2022-05-18 23:25:20,10.5669,72.642,83.82,79,100,15.82
38,Altay,CN,2022-05-18 23:25:20,47.8667,88.1167,60.48,35,0,6.78
39,Jamestown,US,2022-05-18 23:25:20,42.097,-79.2353,54.01,85,100,4.61
40,Pangnirtung,CA,2022-05-18 23:25:21,66.1451,-65.7125,29.34,87,70,3.22
41,Yellowknife,CA,2022-05-18 23:25:21,62.456,-114.3525,52.32,28,20,17.27
42,Barrow,US,2022-05-18 23:25:21,71.2906,-156.7887,17.62,86,100,18.41
43,Kavieng,PG,2022-05-18 23:25:22,-2.5744,150.7967,83.5,74,6,8.66
44,Bambous Virieux,MU,2022-05-18 23:25:22,-20.3428,57.7575,75.45,69,40,6.91
45,Catamarca,AR,2022-05-18 23:25:22,-28.4696,-65.7852,57.78,47,5,1.01
46,Cape Town,ZA,2022-05-18 23:25:22,-33.9258,18.4232,57.61,95,75,3.44
47,Mar Del Plata,AR,2022-05-18 23:24:41,-38.0023,-57.5575,50.02,74,100,5.75
48,New Norfolk,AU,2022-05-18 23:26:23,-42.7826,147.0587,53.65,65,82,5.01
49,Puerto Baquerizo Moreno,EC,2022-05-18 23:26:23,-0.9,-89.6,73.71,89,92,9.13
50,Acari,PE,2022-05-18 23:26:24,-15.4311,-74.6158,66.2,76,26,3.94
51,Cabo San Lucas,MX,2022-05-18 23:24:49,22.8909,-109.9124,88.9,52,40,17.27
52,Marzuq,YE,2022-05-18 23:26:24,14.4,46.4667,72.03,27,63,2.84
53,Tuktoyaktuk,CA,2022-05-18 23:26:24,69.4541,-133.0374,33.8,86,100,12.66
54,Thabazimbi,ZA,2022-05-18 23:26:25,-24.5917,27.4116,57.02,57,59,1.83
55,Port Lincoln,AU,2022-05-18 23:26:25,-34.7333,135.8667,57.87,65,4,11.43
56,Marawi,PH,2022-05-18 23:26:25,7.9986,124.2928,72.86,88,59,1.07
57,Bethel,US,2022-05-18 23:26:26,41.3712,-73.414,67.03,47,98,1.01
58,Byron Bay,AU,2022-05-18 23:26:26,-28.65,153.6167,64.71,75,100,11.14
59,Kiunga,PG,2022-05-18 23:26:26,-6.1219,141.2906,76.26,93,72,2.8
60,Meulaboh,ID,2022-05-18 23:26:27,4.1363,96.1285,76.05,86,96,3.91
61,Port Alfred,ZA,2022-05-18 23:26:27,-33.5906,26.891,71.01,50,19,10.83
62,Butaritari,KI,2022-05-18 23:26:27,3.0707,172.7902,82.06,71,88,13.49
63,Mahebourg,MU,2022-05-18 23:26:28,-20.4081,57.7,75.49,69,40,6.91
64,Kirya,TZ,2022-05-18 23:26:28,-3.9167,37.4833,63.86,91,66,3.96
65,Remetea Mare,RO,2022-05-18 23:26:28,45.7794,21.3761,50.92,71,0,5.01
66,Aswan,EG,2022-05-18 23:26:28,24.0934,32.907,88.9,9,0,8.05
67,Sinnamary,GF,2022-05-18 23:26:29,5.3833,-52.95,78.3,85,88,8.34
68,Ahipara,NZ,2022-05-18 23:26:29,-35.1667,173.1667,65.91,92,100,15.28
69,Lithgow,AU,2022-05-18 23:26:29,-33.4833,150.15,44.42,61,54,3.18
70,Camabatela,AO,2022-05-18 23:26:30,-8.1881,15.375,62.89,73,23,1.23
71,Saint George,US,2022-05-18 23:25:41,37.1041,-113.5841,98.64,10,0,11.5
72,Mount Gambier,AU,2022-05-18 23:22:22,-37.8333,140.7667,51.84,80,44,1.5
73,Lompoc,US,2022-05-18 23:26:30,34.6391,-120.4579,87.01,60,0,21.99
74,Ribeira Grande,PT,2022-05-18 23:26:31,38.5167,-28.7,60.3,93,85,32.61
75,Vysokogornyy,RU,2022-05-18 23:26:31,50.1167,139.15,41.63,86,75,7.2
76,Kodiak,US,2022-05-18 23:25:14,57.79,-152.4072,62.11,27,0,11.5
77,Bathsheba,BB,2022-05-18 23:26:31,13.2167,-59.5167,81.21,83,20,16.11
78,Esperance,AU,2022-05-18 23:26:32,-33.8667,121.9,59.2,89,76,7.54
79,Dikson,RU,2022-05-18 23:26:32,73.5069,80.5464,31.28,96,100,14.09
80,Longyearbyen,SJ,2022-05-18 23:26:32,78.2186,15.6401,26.44,86,75,3.44
81,Narsaq,GL,2022-05-18 23:26:33,60.9167,-46.05,46.62,81,37,3.24
82,Kyabe,TD,2022-05-18 23:26:33,9.4515,18.9449,80.04,72,99,3.91
83,Zhangye,CN,2022-05-18 23:26:33,38.9342,100.4517,60.75,26,17,4.09
84,Uberlandia,BR,2022-05-18 23:24:04,-18.9186,-48.2772,52.81,58,0,9.22
85,Georgetown,MY,2022-05-18 23:26:34,5.4112,100.3354,80.53,93,20,0.0
86,Oriximina,BR,2022-05-18 23:26:34,-1.7656,-55.8661,76.1,93,86,3.06
87,Ambulu,ID,2022-05-18 23:25:08,-8.345,113.6058,76.33,92,100,1.95
88,Saldanha,ZA,2022-05-18 23:26:35,-33.0117,17.9442,60.85,74,99,12.64
89,Saint-Philippe,RE,2022-05-18 23:26:35,-21.3585,55.7679,67.59,73,66,9.8
90,Marsh Harbour,BS,2022-05-18 23:27:35,26.5412,-77.0636,79.88,72,20,8.37
91,Manuk Mangkaw,PH,2022-05-18 23:27:36,4.8,119.85,83.75,74,74,8.21
92,Mehamn,NO,2022-05-18 23:27:36,71.0357,27.8492,33.71,73,100,15.17
93,Qaanaaq,GL,2022-05-18 23:27:36,77.484,-69.3632,29.88,79,98,2.66
94,Constitucion,CL,2022-05-18 23:25:56,-35.3333,-72.4167,51.93,86,95,4.68
